# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
18,Pre-Flop,0,-286,286,RAISE,98,"['7h', '3d']","['2d', 'Ah']","['6d', '3h']",,,1,1
18,Pre-Flop,1,-286,286,DISCARD,0,"['7h', '3d']","['2d', 'Ah']","['6d', '3h']",,,2,2
18,Pre-Flop,1,-286,286,FOLD,0,"['7h', '3d']","['2d', 'As']","['6d', '3h']",,Ah,2,2
19,Pre-Flop,1,-284,284,CALL,0,"['2s', '3s']","['4s', '3d']","['5d', '7d']",,,1,1
19,Pre-Flop,0,-284,284,RAISE,98,"['2s', '3s']","['4s', '3d']","['5d', '7d']",,,2,2
19,Pre-Flop,1,-284,284,DISCARD,0,"['2s', '3s']","['4s', '3d']","['5d', '7d']",,,2,2
19,Pre-Flop,1,-284,284,FOLD,0,"['2s', '3s']","['4s', '8d']","['5d', '7d']",,3d,2,2
20,Pre-Flop,0,-282,282,RAISE,98,"['2h', '9s']","['5s', '6d']","['5d', '6h']",,,1,1
20,Pre-Flop,1,-282,282,CALL,0,"['2h', '9s']","['5s', '6d']","['5d', '6h']",,,2,2
20,Flop,0,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d']",,,100,100
20,Flop,1,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d']",,,100,100
20,Turn,0,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d', '2s']",,,100,100
20,Turn,1,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d', '2s']",,,100,100
20,River,0,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d', '2s', '3s']",,,100,100
20,River,1,-282,282,CHECK,0,"['2h', '9s']","['5s', '6d']","['5d', '6h', '3d', '2s', '3s']",,,100,100
21,Pre-Flop,1,-382,382,CALL,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As']",,,1,1
21,Pre-Flop,0,-382,382,RAISE,98,"['6s', '3h']","['6d', 'Ad']","['7d', 'As']",,,2,2
21,Pre-Flop,1,-382,382,CALL,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As']",,,2,2
21,Flop,1,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s']",,,100,100
21,Flop,0,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s']",,,100,100
21,Turn,1,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s', '2h']",,,100,100
21,Turn,0,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s', '2h']",,,100,100
21,River,1,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s', '2h', '2s']",,,100,100
21,River,0,-382,382,CHECK,0,"['6s', '3h']","['6d', 'Ad']","['7d', 'As', '5s', '2h', '2s']",,,100,100
22,Pre-Flop,0,-482,482,RAISE,98,"['2s', '6d']","['3d', '4s']","['9s', 'Ad']",,,1,1
22,Pre-Flop,1,-482,482,DISCARD,0,"['2s', '6d']","['3d', '4s']","['9s', 'Ad']",,,2,2
22,Pre-Flop,1,-482,482,FOLD,0,"['2s', '6d']","['3d', 'Ah']","['9s', 'Ad']",,4s,2,2
23,Pre-Flop,1,-480,480,CALL,0,"['6d', '5d']","['5s', '4h']","['3s', '3d']",,,1,1
23,Pre-Flop,0,-480,480,RAISE,98,"['6d', '5d']","['5s', '4h']","['3s', '3d']",,,2,2
23,Pre-Flop,1,-480,480,DISCARD,0,"['6d', '5d']","['5s', '4h']","['3s', '3d']",,,2,2
23,Pre-Flop,1,-480,480,CALL,0,"['6d', '5d']","['5s', '9h']","['3s', '3d']",,4h,2,2
23,Flop,1,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s']",,4h,100,100
23,Flop,0,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s']",,4h,100,100
23,Turn,1,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s', '8h']",,4h,100,100
23,Turn,0,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s', '8h']",,4h,100,100
23,River,1,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s', '8h', '4s']",,4h,100,100
23,River,0,-480,480,CHECK,0,"['6d', '5d']","['5s', '9h']","['3s', '3d', '8s', '8h', '4s']",,4h,100,100
24,Pre-Flop,0,-580,580,RAISE,98,"['2h', '4s']","['8s', '7d']","['4d', '6s']",,,1,1
24,Pre-Flop,1,-580,580,DISCARD,0,"['2h', '4s']","['8s', '7d']","['4d', '6s']",,,2,2
24,Pre-Flop,1,-580,580,CALL,0,"['2h', '4s']","['8s', '9s']","['4d', '6s']",,7d,2,2
24,Flop,0,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d']",,7d,100,100
24,Flop,1,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d']",,7d,100,100
24,Turn,0,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d', '9h']",,7d,100,100
24,Turn,1,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d', '9h']",,7d,100,100
24,River,0,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d', '9h', 'As']",,7d,100,100
24,River,1,-580,580,CHECK,0,"['2h', '4s']","['8s', '9s']","['4d', '6s', '5d', '9h', 'As']",,7d,100,100
25,Pre-Flop,1,-680,680,CALL,0,"['6h', '2s']","['7h', '6d']","['3h', '7d']",,,1,1
25,Pre-Flop,0,-680,680,RAISE,98,"['6h', '2s']","['7h', '6d']","['3h', '7d']",,,2,2
25,Pre-Flop,1,-680,680,CALL,0,"['6h', '2s']","['7h', '6d']","['3h', '7d']",,,2,2
25,Flop,1,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As']",,,100,100
25,Flop,0,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As']",,,100,100
25,Turn,1,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As', '5d']",,,100,100
25,Turn,0,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As', '5d']",,,100,100
25,River,1,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As', '5d', '4d']",,,100,100
25,River,0,-680,680,CHECK,0,"['6h', '2s']","['7h', '6d']","['3h', '7d', 'As', '5d', '4d']",,,100,100
26,Pre-Flop,0,-680,680,RAISE,98,"['2d', '5h']","['5s', '4h']","['3s', '9s']",,,1,1
26,Pre-Flop,1,-680,680,DISCARD,0,"['2d', '5h']","['5s', '4h']","['3s', '9s']",,,2,2
26,Pre-Flop,1,-680,680,CALL,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s']",,4h,2,2
26,Flop,0,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s']",,4h,100,100
26,Flop,1,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s']",,4h,100,100
26,Turn,0,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s', '5d']",,4h,100,100
26,Turn,1,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s', '5d']",,4h,100,100
26,River,0,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s', '5d', '2h']",,4h,100,100
26,River,1,-680,680,CHECK,0,"['2d', '5h']","['5s', 'Ad']","['3s', '9s', '6s', '5d', '2h']",,4h,100,100
27,Pre-Flop,1,-580,580,CALL,0,"['4s', '6s']","['4d', 'As']","['7s', 'Ad']",,,1,1
27,Pre-Flop,0,-580,580,RAISE,98,"['4s', '6s']","['4d', 'As']","['7s', 'Ad']",,,2,2
27,Pre-Flop,1,-580,580,DISCARD,0,"['4s', '6s']","['4d', 'As']","['7s', 'Ad']",,,2,2
27,Pre-Flop,1,-580,580,CALL,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad']",,4d,2,2
27,Flop,1,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s']",,4d,100,100
27,Flop,0,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s']",,4d,100,100
